timestamp,roll,pitch,yaw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,imu_alt,ultrasonic_alt,pressure,status
0,-2.808,-87.995,-108.8,0,0,0,0.011925,-0.00045877,-0.0042092,0.013251,9.7701,-0.0076309,0.6798,-1.3683,0.15964,-1,-1,-1,4,0,0
29.567,-2.8162,-87.975,-108.87,0,0,0,-7.56E-05,0.010206,0.012127,-5.85E-05,9.74,0.20014,0.67743,-1.3446,0.14119,-1,-1,-1,4,85820,0
59.12,-2.8252,-87.966,-108.86,0,0,0,0.014505,0.011874,0.016228,0.16813,9.7526,0.45354,0.67597,-1.3461,0.14119,-1,-1,-1,4,85820,0
69.942,-2.843,-87.946,-108.85,0,0,0,0.0088302,0.0038352,0.01241,0.58771,9.7826,0.77868,0.67986,-1.3436,0.14021,-1,-1,-1,4,85815,0
99.495,-2.8419,-87.951,-108.86,0,0,0,-0.0017442,-0.00028741,0.0095623,0.6933,9.7363,0.86839,0.67687,-1.3431,0.13532,-1,-1,-1,4,85815,0
110.32,-2.8471,-87.976,-108.92,0,0,0,-0.012601,-0.01152,0.0085974,0.60559,9.7386,0.44205,0.67514,-1.3454,0.15937,-1,-1,-1,4,85832,0
139.89,-2.8437,-88.002,-108.96,0,0,0,-0.0033427,-0.0096044,0.0040961,0.50841,9.7756,-0.13237,0.67891,-1.3446,0.14315,-1,-1,-1,4,85832,0
169.56,-2.8384,-87.993,-108.93,0,0,0,0.038555,0.0056643,0.0054346,0.45475,9.7512,-0.23046,0.67751,-1.3486,0.14656,-1,-1,-1,4,85823,0
199.12,-2.839,-87.98,-108.91,0,0,0,0.046241,0.011044,0.0090661,0.46091,9.734,-0.18524,0.63164,-1.3061,0.16627,-1,-1,-1,4,85823,0
209.94,-2.8434,-87.949,-108.85,0,0,0,0.035706,0.011996,0.0067955,0.67509,9.7159,0.4147,0.63984,-1.3445,0.16099,-1,-1,-1,4,85711,0
239.55,-2.8339,-87.932,-108.87,0,0,0,0.0062196,0.0096835,0.0035739,0.73236,9.6637,0.86992,0.6769,-1.3451,0.13677,-1,-1,-1,4,85711,0
269.27,-2.8301,-87.929,-108.87,0,0,0,0.015184,0.0058286,-0.0012588,0.63057,9.7068,1.0109,0.67444,-1.3456,0.13481,-1,-1,-1,4,85828,0
280.11,-2.8081,-87.948,-108.8,0,0,0,0.050654,-0.012307,-0.0029299,0.29268,9.7368,0.62713,0.67643,-1.3456,0.13873,-1,-1,-1,4,85828,0
309.69,-2.8031,-87.965,-108.8,0,0,0,-0.0031959,-0.0064885,0.0048971,0.13843,9.7655,0.15562,0.67448,-1.3457,0.13972,-1,-1,-1,4,85827,0
